name,artist,popularity,id,release_date,track_number,explicit,duration_ms,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Come As You Are,Nirvana,77,4P5KoWXOxwuobLmHXLMobV,1991-09-26,3,False,218920,83,0.5,0.824,4.0,-5.846,0.0,0.0388,0.00016,0.00161,0.0916,0.539,120.125
I'm Good (Blue),"David Guetta, Bebe Rexha",87,4uUG5RXrOk84mYEfFvj3cK,2022-08-26,1,True,175238,90,0.561,0.965,7.0,-3.673,0.0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04
Ophelia,The Lumineers,52,3d8y0t70g7hw2FOWl9Z4Fm,2016-04-08,2,False,160097,79,0.664,0.573,5.0,-6.519,1.0,0.0277,0.613,0.000363,0.0857,0.566,76.02
Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Wanz",63,1CmUZGtH29Kx36C1Hleqlz,2012-08-01,1,True,235613,73,0.781,0.526,6.0,-6.985,0.0,0.293,0.0619,0.0,0.0457,0.662,94.992
I Ain't Worried,OneRepublic,81,4h9wh7iOZ0GGn8QVp4RAOB,2022-05-13,1,False,148485,85,0.704,0.797,0.0,-5.927,1.0,0.0475,0.0826,0.000745,0.0546,0.825,139.994
Efecto,Bad Bunny,80,5Eax0qFko2dh7Rl2lYs3bx,2022-05-06,10,True,213061,95,0.801,0.475,7.0,-8.797,0.0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047
For The Night (feat. Lil Baby & DaBaby),"Pop Smoke, Lil Baby, DaBaby",74,0PvFJmanyNQMseIFrU708S,2020-07-03,3,True,190476,80,0.823,0.586,6.0,-6.606,0.0,0.2,0.114,0.0,0.193,0.347,125.971
Fortunate Son,Creedence Clearwater Revival,84,4BP3uh0hFLFRb5cjsgLqDh,1969-11-02,6,False,140773,82,0.64,0.663,0.0,-7.516,1.0,0.0374,0.201,0.00806,0.152,0.663,132.77
No Me Conoce - Remix,"JHAYCO, J Balvin, Bad Bunny",79,2beS6dD5rovBxSA1zYoSHR,2019-05-24,2,False,309120,85,0.804,0.787,10.0,-3.824,0.0,0.0746,0.14,0.0,0.0927,0.562,91.974
Always Remember Us This Way,Lady Gaga,82,2rbDhOo9Fh61Bbu23T2qCk,2018-10-05,9,False,210200,91,0.549,0.502,0.0,-5.972,1.0,0.0405,0.299,0.0,0.764,0.291,129.842
Falling,Harry Styles,79,1ZMiCix7XSAbfAJlEZWMCp,2019-12-13,6,False,240133,84,0.567,0.267,4.0,-6.502,1.0,0.0299,0.839,1.46e-06,0.089,0.0592,110.011
Running Up That Hill (A Deal With God),Kate Bush,79,1PtQJZVZIdWIYdARpZRDFO,1985-09-16,1,False,298933,72,0.629,0.545,10.0,-13.123,0.0,0.0546,0.719,0.00308,0.0604,0.194,108.376
FourFiveSeconds,"Rihanna, Kanye West, Paul McCartney",77,78TTtXnFQPzwqlbtbwqN0y,2015-01-24,1,False,188238,91,0.582,0.272,2.0,-5.662,1.0,0.0501,0.875,0.0,0.13,0.354,205.846
Praise The Lord (Da Shine) (feat. Skepta),"A$AP Rocky, Skepta",79,7ycWLEP1GsNjVvcjawXz3z,2018-05-25,5,True,205040,86,0.854,0.569,5.0,-8.151,0.0,0.106,0.0609,0.0816,0.1,0.294,80.015
DNA.,Kendrick Lamar,79,6HZILIRieu8S0iqY8kIKhj,2017-04-14,2,True,185946,92,0.638,0.523,1.0,-6.664,1.0,0.357,0.00454,0.0,0.0842,0.422,139.913
Falling Down - Bonus Track,"Lil Peep, XXXTENTACION",83,4jvjzW7Hm0yK4LvvE0Paz9,2018-11-09,12,False,196400,85,0.669,0.574,4.0,-6.442,0.0,0.0286,0.0175,0.00294,0.146,0.273,120.013
Wild Thoughts (feat. Rihanna & Bryson Tiller),"DJ Khaled, Rihanna, Bryson Tiller",75,1OAh8uOEOvTDqkKFsKksCi,2017-06-22,3,True,204173,75,0.671,0.672,0.0,-3.094,0.0,0.0688,0.0329,0.0,0.118,0.632,97.979
It's You,Ali Gatie,74,5DqdesEfbRyOlSS3Tf6c29,2019-11-08,1,False,212606,67,0.732,0.463,11.0,-6.972,0.0,0.0287,0.374,0.0,0.194,0.397,95.971
Wet Dreamz,J. Cole,80,4tqcoej1zPvwePZCzuAjJd,2014-12-09,3,True,239266,86,0.495,0.722,6.0,-8.108,0.0,0.357,0.0697,0.0,0.113,0.539,175.627
abcdefu,GAYLE,19,1NXNflQNN6rwbmDRYoi6qO,2022-03-18,2,True,168551,63,0.695,0.54,4.0,-5.688,1.0,0.0491,0.299,0.0,0.369,0.415,121.947
Revenge,XXXTENTACION,85,5TXDeTFVRVY7Cvt0Dw4vWW,2017-08-25,5,True,120026,88,0.746,0.251,11.0,-16.169,0.0,0.259,0.782,0.00203,0.106,0.18,139.999
Sultans of Swing,Dire Straits,65,6cr6UDpkjEaMQ80OjWqEBQ,1978-10-07,6,False,348760,77,0.725,0.801,5.0,-10.059,1.0,0.0302,0.0722,0.0339,0.339,0.925,148.211
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,81,2tUBqZG2AbRi7Q0BIrVrEj,1987-06-02,1,False,291293,77,0.709,0.824,1.0,-8.824,1.0,0.0453,0.207,0.000307,0.0888,0.867,118.818
Dancing Queen,ABBA,84,0GjEhVFGZW8afUYGChu3Rr,1976,2,False,230400,82,0.543,0.87,9.0,-6.514,1.0,0.0428,0.358,0.000939,0.792,0.754,100.804
Toxic,Britney Spears,84,6I9VzXrHxO9rA9A5euc8Ak,2003-11-13,6,False,198800,83,0.774,0.838,5.0,-3.914,0.0,0.114,0.0249,0.025,0.242,0.924,143.04
Glimpse of Us,Joji,77,4ewazQLXFTDC8XvCbhvtXs,2022-11-04,1,False,233456,80,0.44,0.317,8.0,-9.258,1.0,0.0531,0.891,4.78e-06,0.141,0.268,169.914
